price,area,status,bhk,location,bath,City
10400000,1745,Ready to move,3,Kolapakkam,2,Chennai
13100000,2185,Ready to move,4,Kolapakkam,3,Chennai
9298000,1550,Ready to move,3,Kolapakkam,2,Chennai
9118000,1520,Ready to move,2,Kolapakkam,1,Chennai
18100000,3024,Ready to move,5,Kolapakkam,6,Chennai
18100000,3024,Ready to move,5,Kolapakkam,6,Chennai
9700000,1617,Ready to move,2,Kolapakkam,1,Chennai
9700000,1617,Ready to move,2,Kolapakkam,1,Chennai
8026000,1338,Ready to move,2,Kolapakkam,1,Chennai
8026000,1338,Ready to move,2,Kolapakkam,1,Chennai
9118000,1520,Ready to move,2,Kolapakkam,1,Chennai
18100000,3024,Ready to move,5,Kolapakkam,6,Chennai
18100000,3024,Ready to move,5,Kolapakkam,6,Chennai
9700000,1617,Ready to move,2,Kolapakkam,1,Chennai
9700000,1617,Ready to move,2,Kolapakkam,1,Chennai
8026000,1338,Ready to move,2,Kolapakkam,1,Chennai
8026000,1338,Ready to move,2,Kolapakkam,1,Chennai
4042000,825,Ready to move,2,Kolapakkam,2,Chennai
4214000,860,Ready to move,2,Kolapakkam,2,Chennai
7000000,1148,Ready to move,2,Kolapakkam,2,Chennai
5400000,893,Ready to move,2,Kolathur,2,Chennai
16000000,2700,Ready to move,4,Kolathur,3,Chennai
5521000,986,Ready to move,2,Kolathur,2,Chennai
5521000,986,Ready to move,2,Kolathur,2,Chennai
14000000,2200,Ready to move,6,Kolathur,4,Chennai
9158000,1409,Ready to move,3,Kolathur,2,Chennai
6389000,983,Ready to move,2,Kolathur,1,Chennai
6831000,1051,Ready to move,2,Kolathur,1,Chennai
6636000,1021,Ready to move,2,Kolathur,1,Chennai
6461000,994,Ready to move,2,Kolathur,1,Chennai
6565000,1010,Ready to move,2,Kolathur,1,Chennai
8222000,1265,Ready to move,3,Kolathur,2,Chennai
6948000,1069,Ready to move,2,Kolathur,1,Chennai
6259000,963,Ready to move,2,Kolathur,1,Chennai
9548000,1469,Ready to move,3,Kolathur,2,Chennai
6396000,984,Ready to move,2,Kolathur,1,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
6850000,1080,Ready to move,2,Kolathur,3,Chennai
7100000,1100,Under Construction,3,Kolathur,3,Chennai
7200000,1100,Under Construction,3,Kolathur,3,Chennai
27900000,1571,Under Construction,3,Kotturpuram,2,Chennai
22100000,1245,Under Construction,2,Kotturpuram,1,Chennai
34800000,1976,Under Construction,3,Kotturpuram,2,Chennai
32500000,1842,Under Construction,3,Kotturpuram,2,Chennai
34800000,1979,Under Construction,3,Kotturpuram,2,Chennai
23300000,1313,Under Construction,2,Kotturpuram,1,Chennai
34200000,1951,Under Construction,3,Kotturpuram,2,Chennai
